x	y
3.0	1.0
4.0	2.0
5.0	0.0
6.0	0.0
7.0	1.0
8.0	0.0
9.0	0.0
10.0	1.0
11.0	0.0
12.0	1.0
13.0	4.0
14.0	1.0
15.0	1.0
16.0	0.0
17.0	1.0
18.0	1.0
19.0	3.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	1.0
26.0	1.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	1.0
31.0	2.0
32.0	0.0
33.0	0.0
34.0	1.0
35.0	1.0
36.0	0.0
37.0	1.0
38.0	1.0
39.0	1.0
40.0	1.0
41.0	1.0
42.0	0.0
43.0	1.0
44.0	0.0
45.0	1.0
46.0	1.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	1.0
51.0	2.0
52.0	2.0
53.0	2.0
54.0	2.0
55.0	2.0
56.0	2.0
57.0	1.0
58.0	2.0
59.0	1.0
60.0	0.0
61.0	1.0
62.0	2.0
63.0	2.0
64.0	2.0
65.0	1.0
66.0	2.0
67.0	2.0
68.0	1.0
69.0	3.0
70.0	0.0
71.0	2.0
72.0	3.0
73.0	1.0
74.0	1.0
75.0	0.0
76.0	2.0
77.0	1.0
78.0	3.0
79.0	3.0
80.0	0.0
81.0	2.0
82.0	0.0
83.0	0.0
84.0	1.0
85.0	2.0
86.0	2.0
87.0	1.0
88.0	0.0
89.0	1.0
90.0	5.0
91.0	1.0
92.0	1.0
93.0	2.0
94.0	2.0
95.0	3.0
96.0	4.0
97.0	2.0
98.0	1.0
99.0	1.0
100.0	1.0
101.0	2.0
102.0	2.0
103.0	3.0
104.0	3.0
105.0	4.0
106.0	2.0
107.0	3.0
108.0	2.0
109.0	0.0
110.0	0.0
111.0	1.0
112.0	2.0
113.0	3.0
114.0	0.0
115.0	2.0
116.0	2.0
117.0	2.0
118.0	2.0
119.0	1.0
120.0	1.0
121.0	4.0
122.0	0.0
123.0	0.0
124.0	5.0
125.0	2.0
126.0	1.0
127.0	0.0
128.0	2.0
129.0	3.0
130.0	0.0
131.0	1.0
132.0	2.0
133.0	0.0
134.0	0.0
135.0	5.0
136.0	1.0
137.0	1.0
138.0	0.0
139.0	2.0
140.0	2.0
141.0	3.0
142.0	5.0
143.0	2.0
144.0	2.0
145.0	1.0
146.0	2.0
147.0	1.0
148.0	2.0
149.0	1.0
150.0	1.0
151.0	1.0
152.0	0.0
153.0	4.0
154.0	0.0
155.0	2.0
156.0	2.0
157.0	0.0
158.0	2.0
159.0	0.0
160.0	3.0
161.0	2.0
162.0	1.0
163.0	2.0
164.0	2.0
165.0	2.0
166.0	3.0
167.0	1.0
168.0	1.0
169.0	1.0
170.0	1.0
171.0	3.0
172.0	2.0
173.0	2.0
174.0	3.0
175.0	4.0
176.0	2.0
177.0	1.0
178.0	2.0
179.0	3.0
180.0	1.0
181.0	1.0
182.0	2.0
183.0	2.0
184.0	2.0
185.0	3.0
186.0	1.0
187.0	1.0
188.0	3.0
189.0	3.0
190.0	5.0
191.0	2.0
192.0	3.0
193.0	1.0
194.0	2.0
195.0	2.0
196.0	1.0
197.0	3.0
198.0	3.0
199.0	1.0
200.0	2.0
201.0	1.0
202.0	1.0
203.0	2.0
204.0	3.0
205.0	2.0
206.0	4.0
207.0	1.0
208.0	2.0
209.0	2.0
210.0	0.0
211.0	1.0
212.0	1.0
213.0	0.0
214.0	4.0
215.0	0.0
216.0	0.0
217.0	0.0
218.0	0.0
219.0	0.0
220.0	1.0
221.0	0.0
222.0	3.0
223.0	3.0
224.0	2.0
225.0	2.0
226.0	1.0
227.0	3.0
228.0	1.0
229.0	3.0
230.0	1.0
231.0	2.0
232.0	0.0
233.0	1.0
234.0	1.0
235.0	0.0
236.0	3.0
237.0	1.0
238.0	2.0
239.0	4.0
240.0	2.0
241.0	2.0
242.0	1.0
243.0	1.0
244.0	1.0
245.0	3.0
246.0	1.0
247.0	2.0
248.0	0.0
249.0	1.0
250.0	1.0
251.0	0.0
252.0	0.0
253.0	0.0
254.0	1.0
255.0	3.0
256.0	2.0
257.0	2.0
258.0	1.0
259.0	1.0
260.0	1.0
261.0	1.0
262.0	2.0
263.0	0.0
264.0	0.0
265.0	0.0
266.0	0.0
267.0	1.0
268.0	1.0
269.0	1.0
270.0	1.0
271.0	0.0
272.0	1.0
273.0	0.0
274.0	1.0
275.0	1.0
276.0	0.0
277.0	1.0
