x	y
5.0	2.0
6.0	2.0
7.0	2.0
8.0	1.0
9.0	0.0
10.0	2.0
11.0	1.0
12.0	3.0
13.0	0.0
14.0	1.0
15.0	5.0
16.0	2.0
17.0	1.0
18.0	1.0
19.0	1.0
20.0	1.0
21.0	0.0
22.0	1.0
23.0	1.0
24.0	1.0
25.0	2.0
26.0	1.0
27.0	1.0
28.0	2.0
29.0	0.0
30.0	3.0
31.0	0.0
32.0	2.0
33.0	2.0
34.0	0.0
35.0	1.0
36.0	1.0
37.0	2.0
38.0	1.0
39.0	0.0
40.0	1.0
41.0	2.0
42.0	2.0
43.0	0.0
44.0	1.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	1.0
49.0	0.0
50.0	0.0
51.0	1.0
52.0	1.0
53.0	1.0
54.0	1.0
55.0	1.0
56.0	0.0
57.0	2.0
58.0	3.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	1.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	1.0
70.0	1.0
71.0	0.0
72.0	1.0
73.0	0.0
74.0	0.0
75.0	1.0
76.0	1.0
77.0	0.0
78.0	0.0
79.0	1.0
80.0	0.0
81.0	3.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	2.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	1.0
91.0	0.0
92.0	2.0
93.0	2.0
94.0	0.0
95.0	3.0
96.0	0.0
97.0	1.0
98.0	0.0
99.0	0.0
100.0	1.0
101.0	1.0
102.0	0.0
103.0	0.0
104.0	2.0
105.0	1.0
106.0	0.0
107.0	0.0
108.0	1.0
109.0	0.0
110.0	3.0
111.0	0.0
112.0	1.0
113.0	1.0
114.0	0.0
115.0	1.0
116.0	2.0
117.0	0.0
118.0	3.0
119.0	0.0
120.0	1.0
121.0	0.0
122.0	1.0
123.0	0.0
124.0	0.0
125.0	2.0
126.0	1.0
127.0	0.0
128.0	0.0
129.0	1.0
130.0	0.0
131.0	1.0
132.0	0.0
133.0	0.0
134.0	0.0
135.0	0.0
136.0	0.0
137.0	2.0
138.0	2.0
139.0	2.0
140.0	2.0
141.0	2.0
142.0	0.0
143.0	0.0
144.0	1.0
145.0	2.0
146.0	1.0
147.0	1.0
148.0	2.0
149.0	0.0
150.0	0.0
151.0	0.0
152.0	1.0
153.0	0.0
154.0	1.0
155.0	2.0
156.0	1.0
157.0	2.0
158.0	1.0
159.0	1.0
160.0	0.0
161.0	3.0
162.0	0.0
163.0	3.0
164.0	1.0
165.0	1.0
166.0	2.0
167.0	3.0
168.0	0.0
169.0	1.0
170.0	0.0
171.0	0.0
172.0	0.0
173.0	0.0
174.0	1.0
175.0	1.0
176.0	1.0
177.0	1.0
178.0	1.0
179.0	1.0
180.0	3.0
181.0	0.0
182.0	1.0
183.0	1.0
184.0	0.0
185.0	1.0
186.0	1.0
187.0	2.0
188.0	2.0
189.0	3.0
190.0	1.0
191.0	1.0
192.0	2.0
193.0	4.0
194.0	1.0
