x	y
30	1
40	0
50	0
60	0
70	0
80	0
90	1
100	0
110	0
120	0
130	2
140	0
150	0
160	0
170	0
180	0
190	0
200	0
210	0
220	0
230	0
240	0
250	0
260	2
270	2
280	0
290	1
300	2
310	0
320	0
330	3
340	0
350	0
360	0
370	0
380	0
390	0
400	0
410	0
420	0
430	1
440	0
450	0
460	0
470	1
480	1
490	0
500	0
510	0
520	2
530	0
540	0
550	0
560	1
570	0
580	1
590	1
600	1
610	0
620	0
630	0
640	0
650	0
660	1
670	3
680	1
690	0
700	0
710	0
720	0
730	0
740	0
750	0
760	1
770	0
780	0
790	0
800	0
810	0
820	0
830	1
840	0
850	0
860	0
870	0
880	0
890	0
900	0
910	0
920	1
930	0
940	1
950	0
960	1
970	0
980	0
990	0
1000	0
1010	0
1020	0
1030	1
1040	0
1050	1
1060	0
1070	0
1080	1
1090	2
1100	0
1110	1
1120	3
1130	1
1140	0
1150	1
1160	0
1170	0
1180	1
1190	0
1200	1
1210	0
1220	2
1230	0
1240	0
1250	0
1260	2
1270	1
1280	1
1290	1
1300	0
1310	0
1320	0
1330	0
1340	0
1350	0
1360	0
1370	0
1380	0
1390	0
1400	0
1410	0
1420	0
1430	0
1440	0
1450	2
1460	0
1470	0
1480	0
1490	0
1500	0
1510	0
1520	1
1530	1
1540	0
1550	0
1560	0
1570	0
1580	0
1590	0
1600	0
1610	0
1620	4
1630	0
1640	0
1650	0
1660	0
1670	0
1680	0
1690	1
1700	0
1710	0
1720	0
1730	0
1740	0
1750	0
1760	1
1770	1
1780	2
1790	2
1800	0
1810	3
1820	0
1830	0
1840	1
1850	0
1860	0
1870	0
1880	0
1890	0
1900	0
1910	0
1920	0
1930	1
1940	0
1950	0
1960	0
1970	0
1980	0
1990	1
2000	0
2010	0
2020	1
2030	1
2040	0
2050	0
2060	0
2070	0
2080	0
2090	0
2100	1
2110	1
2120	0
2130	0
2140	0
2150	2
2160	0
2170	1
2180	0
2190	0
2200	0
2210	0
2220	0
2230	0
2240	0
2250	0
2260	1
2270	0
2280	0
2290	0
2300	1
2310	1
2320	0
2330	0
2340	2
2350	0
2360	0
2370	0
2380	0
2390	1
2400	0
2410	1
2420	0
2430	0
2440	0
2450	0
2460	0
2470	0
2480	0
2490	0
2500	0
2510	1
2520	1
2530	0
2540	0
2550	1
2560	2
2570	1
2580	0
2590	0
2600	0
2610	0
2620	0
2630	0
2640	1
2650	0
2660	0
2670	0
2680	0
2690	0
2700	0
2710	0
2720	3
2730	0
2740	0
2750	1
2760	3
2770	1
2780	2
2790	1
2800	0
2810	0
2820	0
2830	0
2840	0
2850	0
2860	0
2870	2
2880	0
2890	0
2900	0
2910	0
2920	2
2930	1
2940	1
2950	1
2960	3
2970	0
