x	y
12350.0	1.0
12450.0	0.0
12550.0	0.0
12650.0	0.0
12750.0	0.0
12850.0	1.0
12950.0	0.0
13050.0	1.0
13150.0	1.0
13250.0	0.0
13350.0	0.0
13450.0	0.0
13550.0	1.0
13650.0	0.0
13750.0	0.0
13850.0	2.0
13950.0	1.0
14050.0	0.0
14150.0	1.0
14250.0	0.0
14350.0	0.0
14450.0	0.0
14550.0	0.0
14650.0	2.0
14750.0	1.0
14850.0	0.0
14950.0	0.0
15050.0	3.0
15150.0	1.0
15250.0	0.0
15350.0	2.0
15450.0	0.0
15550.0	0.0
15650.0	0.0
15750.0	1.0
15850.0	0.0
15950.0	0.0
16050.0	0.0
16150.0	2.0
16250.0	1.0
16350.0	0.0
16450.0	1.0
16550.0	0.0
16650.0	1.0
16750.0	0.0
16850.0	0.0
16950.0	1.0
17050.0	0.0
17150.0	1.0
17250.0	1.0
17350.0	1.0
17450.0	0.0
17550.0	2.0
17650.0	1.0
17750.0	1.0
17850.0	2.0
17950.0	1.0
18050.0	0.0
18150.0	1.0
18250.0	1.0
18350.0	0.0
18450.0	0.0
18550.0	0.0
18650.0	3.0
18750.0	1.0
18850.0	0.0
18950.0	1.0
19050.0	1.0
19150.0	1.0
19250.0	1.0
19350.0	0.0
19450.0	1.0
19550.0	1.0
19650.0	0.0
19750.0	2.0
19850.0	0.0
19950.0	0.0
20050.0	1.0
20150.0	2.0
20250.0	0.0
20350.0	0.0
20450.0	3.0
20550.0	2.0
20650.0	0.0
20750.0	2.0
20850.0	3.0
20950.0	0.0
21050.0	2.0
21150.0	1.0
21250.0	4.0
21350.0	1.0
21450.0	1.0
21550.0	2.0
21650.0	1.0
21750.0	0.0
21850.0	0.0
21950.0	2.0
22050.0	0.0
22150.0	2.0
22250.0	1.0
22350.0	4.0
22450.0	3.0
22550.0	1.0
22650.0	0.0
22750.0	1.0
22850.0	3.0
22950.0	1.0
23050.0	0.0
23150.0	1.0
23250.0	3.0
23350.0	2.0
23450.0	3.0
23550.0	2.0
23650.0	1.0
23750.0	0.0
23850.0	1.0
23950.0	2.0
24050.0	0.0
24150.0	1.0
24250.0	0.0
24350.0	2.0
24450.0	2.0
24550.0	1.0
24650.0	1.0
24750.0	1.0
24850.0	2.0
24950.0	0.0
25050.0	1.0
25150.0	2.0
25250.0	0.0
25350.0	6.0
25450.0	0.0
25550.0	4.0
25650.0	0.0
25750.0	1.0
25850.0	1.0
25950.0	0.0
26050.0	2.0
26150.0	0.0
26250.0	5.0
26350.0	1.0
26450.0	0.0
26550.0	1.0
26650.0	2.0
26750.0	1.0
26850.0	1.0
26950.0	1.0
27050.0	3.0
27150.0	0.0
27250.0	2.0
27350.0	1.0
27450.0	4.0
27550.0	0.0
27650.0	1.0
27750.0	2.0
27850.0	0.0
27950.0	1.0
28050.0	6.0
28150.0	5.0
28250.0	1.0
28350.0	0.0
28450.0	1.0
28550.0	2.0
28650.0	1.0
28750.0	1.0
28850.0	2.0
28950.0	2.0
29050.0	3.0
29150.0	4.0
29250.0	4.0
29350.0	1.0
29450.0	1.0
29550.0	1.0
29650.0	1.0
29750.0	2.0
29850.0	0.0
29950.0	2.0
30050.0	1.0
30150.0	3.0
30250.0	1.0
30350.0	2.0
30450.0	0.0
30550.0	1.0
30650.0	1.0
30750.0	1.0
30850.0	1.0
30950.0	3.0
31050.0	5.0
31150.0	1.0
31250.0	3.0
31350.0	1.0
31450.0	0.0
31550.0	2.0
31650.0	0.0
31750.0	4.0
31850.0	3.0
31950.0	1.0
32050.0	0.0
32150.0	2.0
32250.0	1.0
32350.0	4.0
32450.0	1.0
32550.0	2.0
32650.0	2.0
32750.0	1.0
32850.0	1.0
32950.0	2.0
33050.0	0.0
33150.0	1.0
33250.0	1.0
33350.0	2.0
33450.0	3.0
33550.0	4.0
33650.0	1.0
33750.0	2.0
33850.0	5.0
33950.0	0.0
34050.0	5.0
34150.0	2.0
34250.0	3.0
34350.0	0.0
34450.0	0.0
34550.0	1.0
34650.0	3.0
34750.0	2.0
34850.0	0.0
34950.0	5.0
35050.0	3.0
35150.0	2.0
35250.0	2.0
35350.0	0.0
35450.0	8.0
35550.0	3.0
35650.0	4.0
35750.0	2.0
35850.0	1.0
35950.0	1.0
36050.0	1.0
36150.0	0.0
36250.0	3.0
36350.0	2.0
36450.0	2.0
36550.0	1.0
36650.0	2.0
36750.0	3.0
36850.0	1.0
36950.0	1.0
37050.0	2.0
37150.0	0.0
37250.0	0.0
37350.0	1.0
37450.0	1.0
37550.0	2.0
37650.0	2.0
37750.0	2.0
37850.0	1.0
37950.0	1.0
38050.0	0.0
38150.0	0.0
38250.0	2.0
38350.0	1.0
38450.0	2.0
38550.0	2.0
38650.0	1.0
38750.0	1.0
38850.0	0.0
38950.0	0.0
39050.0	1.0
39150.0	1.0
39250.0	1.0
39350.0	0.0
39450.0	0.0
39550.0	0.0
39650.0	0.0
39750.0	1.0
39850.0	1.0
39950.0	2.0
40050.0	0.0
40150.0	3.0
40250.0	4.0
40350.0	2.0
40450.0	1.0
40550.0	1.0
40650.0	1.0
40750.0	3.0
40850.0	2.0
40950.0	2.0
41050.0	0.0
41150.0	1.0
41250.0	1.0
41350.0	2.0
41450.0	2.0
41550.0	2.0
41650.0	1.0
41750.0	1.0
41850.0	0.0
41950.0	1.0
42050.0	0.0
42150.0	2.0
42250.0	0.0
42350.0	1.0
42450.0	2.0
42550.0	1.0
42650.0	1.0
42750.0	0.0
42850.0	1.0
42950.0	0.0
43050.0	1.0
43150.0	0.0
43250.0	0.0
43350.0	2.0
43450.0	1.0
43550.0	1.0
43650.0	0.0
43750.0	1.0
43850.0	1.0
43950.0	2.0
44050.0	5.0
44150.0	2.0
44250.0	2.0
44350.0	0.0
44450.0	2.0
44550.0	1.0
44650.0	2.0
44750.0	2.0
44850.0	1.0
44950.0	2.0
45050.0	1.0
45150.0	0.0
45250.0	3.0
45350.0	1.0
45450.0	2.0
45550.0	2.0
45650.0	1.0
45750.0	1.0
45850.0	1.0
45950.0	1.0
46050.0	0.0
46150.0	0.0
46250.0	0.0
46350.0	1.0
46450.0	2.0
46550.0	0.0
46650.0	1.0
46750.0	1.0
46850.0	2.0
46950.0	1.0
47050.0	1.0
47150.0	2.0
47250.0	0.0
47350.0	0.0
47450.0	1.0
47550.0	0.0
47650.0	1.0
47750.0	0.0
47850.0	0.0
47950.0	2.0
48050.0	1.0
48150.0	1.0
48250.0	1.0
48350.0	1.0
48450.0	0.0
48550.0	0.0
48650.0	0.0
48750.0	0.0
48850.0	2.0
48950.0	2.0
49050.0	0.0
49150.0	1.0
49250.0	0.0
49350.0	2.0
49450.0	1.0
49550.0	1.0
49650.0	2.0
49750.0	1.0
49850.0	0.0
49950.0	1.0
50050.0	1.0
50150.0	2.0
50250.0	2.0
50350.0	0.0
50450.0	0.0
50550.0	0.0
50650.0	0.0
50750.0	1.0
50850.0	0.0
50950.0	1.0
51050.0	1.0
51150.0	2.0
51250.0	1.0
51350.0	2.0
51450.0	0.0
51550.0	0.0
51650.0	1.0
51750.0	1.0
51850.0	1.0
51950.0	1.0
52050.0	1.0
52150.0	1.0
52250.0	0.0
52350.0	2.0
52450.0	0.0
52550.0	0.0
52650.0	2.0
52750.0	1.0
52850.0	1.0
52950.0	2.0
53050.0	1.0
53150.0	0.0
53250.0	0.0
53350.0	1.0
53450.0	0.0
53550.0	0.0
53650.0	2.0
53750.0	1.0
53850.0	0.0
53950.0	0.0
54050.0	3.0
54150.0	3.0
54250.0	0.0
54350.0	0.0
54450.0	2.0
54550.0	0.0
54650.0	3.0
54750.0	1.0
54850.0	3.0
54950.0	2.0
55050.0	1.0
55150.0	1.0
55250.0	0.0
55350.0	1.0
55450.0	0.0
55550.0	0.0
55650.0	0.0
55750.0	0.0
55850.0	2.0
55950.0	0.0
56050.0	2.0
56150.0	0.0
56250.0	0.0
56350.0	0.0
56450.0	0.0
56550.0	2.0
56650.0	0.0
56750.0	1.0
56850.0	0.0
56950.0	1.0
57050.0	0.0
57150.0	0.0
57250.0	1.0
57350.0	2.0
57450.0	2.0
57550.0	1.0
57650.0	2.0
57750.0	1.0
57850.0	2.0
57950.0	0.0
58050.0	0.0
58150.0	0.0
58250.0	0.0
58350.0	0.0
58450.0	0.0
58550.0	1.0
58650.0	1.0
58750.0	1.0
58850.0	1.0
58950.0	0.0
59050.0	1.0
59150.0	0.0
59250.0	0.0
59350.0	2.0
59450.0	0.0
59550.0	0.0
59650.0	1.0
59750.0	0.0
59850.0	1.0
59950.0	2.0
60050.0	2.0
60150.0	0.0
60250.0	2.0
60350.0	0.0
60450.0	1.0
60550.0	0.0
60650.0	1.0
60750.0	2.0
60850.0	0.0
60950.0	0.0
61050.0	0.0
61150.0	0.0
61250.0	1.0
61350.0	0.0
61450.0	0.0
61550.0	1.0
61650.0	1.0
61750.0	2.0
61850.0	0.0
61950.0	3.0
62050.0	3.0
62150.0	0.0
62250.0	1.0
62350.0	0.0
62450.0	0.0
62550.0	0.0
62650.0	0.0
62750.0	2.0
62850.0	0.0
62950.0	0.0
63050.0	0.0
63150.0	1.0
63250.0	0.0
63350.0	0.0
63450.0	0.0
63550.0	2.0
63650.0	2.0
63750.0	0.0
63850.0	0.0
63950.0	0.0
64050.0	0.0
64150.0	0.0
64250.0	4.0
64350.0	0.0
64450.0	1.0
64550.0	0.0
64650.0	2.0
64750.0	0.0
64850.0	0.0
64950.0	1.0
65050.0	1.0
65150.0	1.0
65250.0	0.0
65350.0	2.0
65450.0	0.0
65550.0	1.0
65650.0	0.0
65750.0	0.0
65850.0	2.0
65950.0	0.0
66050.0	1.0
66150.0	0.0
66250.0	0.0
66350.0	0.0
66450.0	0.0
66550.0	1.0
66650.0	1.0
66750.0	0.0
66850.0	1.0
66950.0	0.0
67050.0	3.0
67150.0	1.0
67250.0	0.0
67350.0	1.0
67450.0	2.0
67550.0	1.0
67650.0	0.0
67750.0	0.0
67850.0	0.0
67950.0	0.0
68050.0	0.0
68150.0	0.0
68250.0	1.0
68350.0	2.0
68450.0	0.0
68550.0	0.0
68650.0	0.0
68750.0	0.0
68850.0	1.0
68950.0	0.0
69050.0	0.0
69150.0	1.0
69250.0	1.0
69350.0	0.0
69450.0	0.0
69550.0	0.0
69650.0	1.0
69750.0	2.0
69850.0	0.0
69950.0	1.0
70050.0	2.0
70150.0	1.0
70250.0	1.0
70350.0	1.0
70450.0	1.0
70550.0	1.0
70650.0	0.0
70750.0	0.0
70850.0	0.0
70950.0	0.0
71050.0	1.0
71150.0	0.0
71250.0	0.0
71350.0	1.0
71450.0	0.0
71550.0	0.0
71650.0	2.0
71750.0	0.0
71850.0	0.0
71950.0	1.0
72050.0	0.0
72150.0	0.0
72250.0	0.0
72350.0	1.0
72450.0	0.0
72550.0	0.0
72650.0	0.0
72750.0	0.0
72850.0	0.0
72950.0	0.0
73050.0	1.0
73150.0	0.0
73250.0	0.0
73350.0	1.0
73450.0	0.0
73550.0	1.0
73650.0	1.0
73750.0	0.0
73850.0	3.0
73950.0	0.0
74050.0	3.0
74150.0	0.0
74250.0	1.0
74350.0	0.0
74450.0	0.0
74550.0	1.0
74650.0	2.0
74750.0	0.0
74850.0	0.0
74950.0	0.0
75050.0	1.0
75150.0	0.0
75250.0	1.0
75350.0	1.0
75450.0	0.0
75550.0	0.0
75650.0	2.0
75750.0	0.0
75850.0	1.0
75950.0	0.0
76050.0	2.0
76150.0	1.0
76250.0	0.0
76350.0	0.0
76450.0	0.0
76550.0	0.0
76650.0	1.0
76750.0	0.0
76850.0	0.0
76950.0	0.0
77050.0	0.0
77150.0	0.0
77250.0	0.0
77350.0	2.0
77450.0	0.0
77550.0	0.0
77650.0	1.0
77750.0	1.0
77850.0	0.0
77950.0	0.0
78050.0	0.0
78150.0	0.0
78250.0	0.0
78350.0	0.0
78450.0	0.0
78550.0	0.0
78650.0	1.0
78750.0	0.0
78850.0	2.0
78950.0	0.0
79050.0	1.0
79150.0	0.0
79250.0	1.0
79350.0	1.0
79450.0	0.0
79550.0	1.0
79650.0	1.0
79750.0	0.0
79850.0	1.0
79950.0	2.0
80050.0	0.0
80150.0	0.0
80250.0	0.0
80350.0	1.0
80450.0	1.0
80550.0	0.0
80650.0	0.0
80750.0	0.0
80850.0	1.0
80950.0	0.0
81050.0	1.0
81150.0	0.0
81250.0	0.0
81350.0	0.0
81450.0	1.0
81550.0	0.0
81650.0	0.0
81750.0	2.0
81850.0	0.0
81950.0	0.0
82050.0	0.0
82150.0	0.0
82250.0	1.0
82350.0	0.0
82450.0	0.0
82550.0	0.0
82650.0	0.0
82750.0	0.0
82850.0	0.0
82950.0	0.0
83050.0	0.0
83150.0	1.0
83250.0	1.0
83350.0	1.0
83450.0	1.0
83550.0	0.0
83650.0	0.0
83750.0	1.0
83850.0	0.0
83950.0	0.0
84050.0	0.0
84150.0	1.0
84250.0	0.0
84350.0	0.0
84450.0	1.0
84550.0	0.0
84650.0	1.0
84750.0	0.0
84850.0	2.0
84950.0	2.0
85050.0	2.0
85150.0	1.0
85250.0	0.0
85350.0	0.0
85450.0	2.0
85550.0	1.0
85650.0	0.0
85750.0	0.0
85850.0	0.0
85950.0	0.0
86050.0	0.0
86150.0	0.0
86250.0	0.0
86350.0	0.0
86450.0	0.0
86550.0	2.0
86650.0	0.0
86750.0	0.0
86850.0	0.0
86950.0	0.0
87050.0	0.0
87150.0	0.0
87250.0	0.0
87350.0	0.0
87450.0	2.0
87550.0	1.0
87650.0	1.0
87750.0	0.0
87850.0	0.0
87950.0	0.0
88050.0	0.0
88150.0	1.0
88250.0	0.0
88350.0	0.0
88450.0	0.0
88550.0	1.0
88650.0	1.0
88750.0	0.0
88850.0	0.0
88950.0	1.0
89050.0	0.0
89150.0	1.0
89250.0	0.0
89350.0	0.0
89450.0	0.0
89550.0	0.0
89650.0	0.0
89750.0	0.0
89850.0	0.0
89950.0	0.0
90050.0	0.0
90150.0	0.0
90250.0	0.0
90350.0	0.0
90450.0	0.0
90550.0	0.0
90650.0	0.0
90750.0	0.0
90850.0	1.0
90950.0	0.0
91050.0	1.0
91150.0	1.0
91250.0	1.0
91350.0	1.0
91450.0	0.0
91550.0	0.0
91650.0	0.0
91750.0	0.0
91850.0	0.0
91950.0	0.0
92050.0	0.0
92150.0	0.0
92250.0	0.0
92350.0	1.0
92450.0	0.0
92550.0	2.0
92650.0	0.0
92750.0	0.0
92850.0	0.0
92950.0	0.0
93050.0	0.0
93150.0	1.0
93250.0	0.0
93350.0	0.0
93450.0	0.0
93550.0	0.0
93650.0	1.0
93750.0	1.0
93850.0	0.0
93950.0	0.0
94050.0	2.0
94150.0	0.0
94250.0	0.0
94350.0	0.0
94450.0	0.0
94550.0	0.0
94650.0	0.0
94750.0	0.0
94850.0	0.0
94950.0	0.0
95050.0	0.0
95150.0	0.0
95250.0	1.0
95350.0	1.0
95450.0	0.0
95550.0	0.0
95650.0	0.0
95750.0	0.0
95850.0	0.0
95950.0	0.0
96050.0	1.0
96150.0	0.0
96250.0	0.0
96350.0	0.0
96450.0	1.0
96550.0	0.0
96650.0	0.0
96750.0	1.0
96850.0	0.0
96950.0	0.0
97050.0	0.0
97150.0	0.0
97250.0	1.0
97350.0	0.0
97450.0	0.0
97550.0	2.0
97650.0	0.0
97750.0	0.0
97850.0	0.0
97950.0	1.0
98050.0	0.0
98150.0	0.0
98250.0	0.0
98350.0	0.0
98450.0	0.0
98550.0	0.0
98650.0	0.0
98750.0	0.0
98850.0	0.0
98950.0	0.0
99050.0	0.0
99150.0	0.0
99250.0	0.0
99350.0	0.0
99450.0	0.0
99550.0	1.0
99650.0	0.0
99750.0	0.0
99850.0	1.0
99950.0	0.0
100050.0	0.0
100150.0	1.0
100250.0	0.0
100350.0	2.0
100450.0	0.0
100550.0	1.0
100650.0	0.0
100750.0	1.0
100850.0	0.0
100950.0	0.0
101050.0	0.0
101150.0	0.0
101250.0	0.0
101350.0	0.0
101450.0	0.0
101550.0	0.0
101650.0	0.0
101750.0	0.0
101850.0	0.0
101950.0	0.0
102050.0	1.0
102150.0	0.0
102250.0	1.0
102350.0	0.0
102450.0	0.0
102550.0	0.0
102650.0	0.0
102750.0	0.0
102850.0	2.0
102950.0	0.0
103050.0	0.0
103150.0	2.0
103250.0	0.0
103350.0	0.0
103450.0	0.0
103550.0	0.0
103650.0	0.0
103750.0	0.0
103850.0	0.0
103950.0	0.0
104050.0	0.0
104150.0	1.0
104250.0	0.0
104350.0	0.0
104450.0	0.0
104550.0	0.0
104650.0	0.0
104750.0	0.0
104850.0	1.0
104950.0	0.0
105050.0	0.0
105150.0	2.0
105250.0	1.0
105350.0	0.0
105450.0	0.0
105550.0	0.0
105650.0	0.0
105750.0	0.0
105850.0	0.0
105950.0	0.0
106050.0	0.0
106150.0	0.0
106250.0	0.0
106350.0	1.0
106450.0	0.0
106550.0	0.0
106650.0	0.0
106750.0	0.0
106850.0	0.0
106950.0	1.0
107050.0	0.0
107150.0	1.0
107250.0	0.0
107350.0	1.0
107450.0	0.0
107550.0	0.0
107650.0	1.0
107750.0	0.0
107850.0	0.0
107950.0	0.0
108050.0	1.0
108150.0	0.0
108250.0	0.0
108350.0	0.0
108450.0	0.0
108550.0	1.0
108650.0	0.0
108750.0	1.0
108850.0	0.0
108950.0	0.0
109050.0	0.0
109150.0	0.0
109250.0	0.0
109350.0	0.0
109450.0	0.0
109550.0	0.0
109650.0	1.0
109750.0	0.0
109850.0	0.0
109950.0	0.0
110050.0	0.0
110150.0	0.0
110250.0	0.0
110350.0	1.0
110450.0	1.0
110550.0	1.0
110650.0	1.0
110750.0	1.0
110850.0	0.0
110950.0	0.0
111050.0	0.0
111150.0	0.0
111250.0	0.0
111350.0	0.0
111450.0	0.0
111550.0	0.0
111650.0	0.0
111750.0	0.0
111850.0	0.0
111950.0	0.0
112050.0	1.0
112150.0	0.0
112250.0	0.0
112350.0	2.0
112450.0	0.0
112550.0	1.0
112650.0	1.0
112750.0	0.0
112850.0	0.0
112950.0	1.0
113050.0	0.0
113150.0	0.0
113250.0	0.0
113350.0	0.0
113450.0	1.0
113550.0	0.0
113650.0	0.0
113750.0	0.0
113850.0	0.0
113950.0	0.0
114050.0	0.0
114150.0	1.0
114250.0	0.0
114350.0	0.0
114450.0	0.0
114550.0	0.0
114650.0	1.0
114750.0	0.0
114850.0	0.0
114950.0	1.0
115050.0	0.0
115150.0	0.0
115250.0	0.0
115350.0	1.0
115450.0	0.0
115550.0	0.0
115650.0	0.0
115750.0	0.0
115850.0	1.0
115950.0	0.0
116050.0	0.0
116150.0	0.0
116250.0	0.0
116350.0	0.0
116450.0	0.0
116550.0	0.0
116650.0	0.0
116750.0	0.0
116850.0	0.0
116950.0	0.0
117050.0	0.0
117150.0	0.0
117250.0	0.0
117350.0	0.0
117450.0	0.0
117550.0	0.0
117650.0	0.0
117750.0	0.0
117850.0	0.0
117950.0	0.0
118050.0	1.0
118150.0	0.0
118250.0	0.0
118350.0	0.0
118450.0	0.0
118550.0	0.0
118650.0	1.0
118750.0	0.0
118850.0	0.0
118950.0	0.0
119050.0	0.0
119150.0	0.0
119250.0	1.0
119350.0	0.0
119450.0	1.0
119550.0	0.0
119650.0	0.0
119750.0	0.0
119850.0	0.0
119950.0	0.0
120050.0	0.0
120150.0	0.0
120250.0	0.0
120350.0	0.0
120450.0	0.0
120550.0	0.0
120650.0	1.0
120750.0	0.0
120850.0	0.0
120950.0	0.0
121050.0	0.0
121150.0	0.0
121250.0	0.0
121350.0	0.0
121450.0	0.0
121550.0	0.0
121650.0	0.0
121750.0	1.0
121850.0	0.0
121950.0	0.0
122050.0	1.0
122150.0	0.0
122250.0	1.0
122350.0	1.0
122450.0	0.0
122550.0	0.0
122650.0	1.0
122750.0	0.0
122850.0	0.0
122950.0	0.0
123050.0	0.0
123150.0	0.0
123250.0	0.0
123350.0	0.0
123450.0	0.0
123550.0	0.0
123650.0	0.0
123750.0	0.0
123850.0	0.0
123950.0	0.0
124050.0	1.0
124150.0	0.0
124250.0	0.0
124350.0	1.0
124450.0	0.0
124550.0	0.0
124650.0	0.0
124750.0	0.0
124850.0	0.0
124950.0	0.0
125050.0	0.0
125150.0	1.0
125250.0	0.0
125350.0	0.0
125450.0	0.0
125550.0	0.0
125650.0	0.0
125750.0	1.0
125850.0	1.0
125950.0	1.0
126050.0	0.0
126150.0	0.0
126250.0	0.0
126350.0	0.0
126450.0	0.0
126550.0	0.0
126650.0	0.0
126750.0	0.0
126850.0	0.0
126950.0	0.0
127050.0	1.0
127150.0	0.0
127250.0	0.0
127350.0	0.0
127450.0	0.0
127550.0	0.0
127650.0	0.0
127750.0	0.0
127850.0	0.0
127950.0	0.0
128050.0	0.0
128150.0	0.0
128250.0	0.0
128350.0	0.0
128450.0	0.0
128550.0	0.0
128650.0	0.0
128750.0	0.0
128850.0	0.0
128950.0	0.0
129050.0	0.0
129150.0	0.0
129250.0	1.0
129350.0	0.0
129450.0	0.0
129550.0	0.0
129650.0	0.0
129750.0	1.0
129850.0	0.0
129950.0	0.0
130050.0	0.0
130150.0	1.0
130250.0	1.0
130350.0	0.0
130450.0	0.0
130550.0	0.0
130650.0	1.0
130750.0	0.0
130850.0	0.0
130950.0	0.0
131050.0	1.0
131150.0	0.0
131250.0	0.0
131350.0	0.0
131450.0	0.0
131550.0	0.0
131650.0	0.0
131750.0	0.0
131850.0	0.0
131950.0	0.0
132050.0	0.0
132150.0	0.0
132250.0	0.0
132350.0	0.0
132450.0	1.0
132550.0	0.0
132650.0	0.0
132750.0	0.0
132850.0	0.0
132950.0	0.0
133050.0	0.0
133150.0	0.0
133250.0	1.0
133350.0	0.0
133450.0	0.0
133550.0	0.0
133650.0	0.0
133750.0	0.0
133850.0	0.0
133950.0	0.0
134050.0	0.0
134150.0	0.0
134250.0	0.0
134350.0	0.0
134450.0	0.0
134550.0	0.0
134650.0	0.0
134750.0	0.0
134850.0	0.0
134950.0	0.0
135050.0	0.0
135150.0	0.0
135250.0	0.0
135350.0	0.0
135450.0	0.0
135550.0	0.0
135650.0	0.0
135750.0	0.0
135850.0	1.0
135950.0	0.0
136050.0	0.0
136150.0	1.0
136250.0	0.0
136350.0	0.0
136450.0	0.0
136550.0	0.0
136650.0	0.0
136750.0	0.0
136850.0	0.0
136950.0	0.0
137050.0	0.0
137150.0	0.0
137250.0	0.0
137350.0	1.0
137450.0	0.0
137550.0	0.0
137650.0	0.0
137750.0	0.0
137850.0	0.0
137950.0	0.0
138050.0	0.0
138150.0	1.0
138250.0	0.0
138350.0	0.0
138450.0	0.0
138550.0	1.0
138650.0	0.0
138750.0	0.0
138850.0	0.0
138950.0	0.0
139050.0	1.0
139150.0	0.0
139250.0	1.0
139350.0	0.0
139450.0	1.0
139550.0	0.0
139650.0	0.0
139750.0	0.0
139850.0	1.0
139950.0	0.0
140050.0	0.0
140150.0	0.0
140250.0	0.0
140350.0	0.0
140450.0	0.0
140550.0	0.0
140650.0	0.0
140750.0	0.0
140850.0	0.0
140950.0	0.0
141050.0	0.0
141150.0	0.0
141250.0	0.0
141350.0	0.0
141450.0	0.0
141550.0	0.0
141650.0	2.0
141750.0	1.0
141850.0	0.0
141950.0	0.0
142050.0	0.0
142150.0	0.0
142250.0	0.0
142350.0	0.0
142450.0	0.0
142550.0	0.0
142650.0	0.0
142750.0	0.0
142850.0	0.0
142950.0	0.0
143050.0	0.0
143150.0	0.0
143250.0	1.0
143350.0	0.0
143450.0	1.0
143550.0	0.0
143650.0	0.0
143750.0	1.0
143850.0	0.0
143950.0	0.0
144050.0	0.0
144150.0	0.0
144250.0	0.0
144350.0	0.0
144450.0	0.0
144550.0	0.0
144650.0	0.0
144750.0	0.0
144850.0	0.0
144950.0	0.0
145050.0	0.0
145150.0	0.0
145250.0	0.0
145350.0	0.0
145450.0	0.0
145550.0	0.0
145650.0	0.0
145750.0	0.0
145850.0	0.0
145950.0	1.0
146050.0	0.0
146150.0	0.0
146250.0	0.0
146350.0	1.0
146450.0	0.0
146550.0	0.0
146650.0	0.0
146750.0	0.0
146850.0	0.0
146950.0	1.0
147050.0	0.0
147150.0	0.0
147250.0	1.0
147350.0	0.0
147450.0	0.0
147550.0	0.0
147650.0	1.0
147750.0	0.0
147850.0	1.0
147950.0	0.0
148050.0	0.0
148150.0	0.0
148250.0	0.0
148350.0	0.0
148450.0	0.0
148550.0	0.0
148650.0	1.0
148750.0	0.0
148850.0	0.0
148950.0	0.0
149050.0	0.0
149150.0	0.0
149250.0	0.0
149350.0	0.0
149450.0	0.0
149550.0	0.0
149650.0	0.0
149750.0	0.0
149850.0	0.0
149950.0	1.0
150050.0	0.0
150150.0	0.0
150250.0	0.0
150350.0	0.0
150450.0	0.0
150550.0	0.0
150650.0	0.0
150750.0	0.0
150850.0	0.0
150950.0	0.0
151050.0	0.0
151150.0	0.0
151250.0	0.0
151350.0	0.0
151450.0	0.0
151550.0	0.0
151650.0	0.0
151750.0	1.0
151850.0	1.0
151950.0	0.0
152050.0	0.0
152150.0	0.0
152250.0	0.0
152350.0	0.0
152450.0	0.0
152550.0	0.0
152650.0	0.0
152750.0	0.0
152850.0	0.0
152950.0	0.0
153050.0	0.0
153150.0	0.0
153250.0	0.0
153350.0	0.0
153450.0	0.0
153550.0	0.0
153650.0	0.0
153750.0	0.0
153850.0	0.0
153950.0	0.0
154050.0	0.0
154150.0	0.0
154250.0	0.0
154350.0	0.0
154450.0	0.0
154550.0	1.0
154650.0	0.0
154750.0	0.0
154850.0	0.0
154950.0	0.0
155050.0	0.0
155150.0	0.0
155250.0	0.0
155350.0	0.0
155450.0	0.0
