x	y
58	1
68	0
78	0
88	2
98	0
108	1
118	0
128	0
138	0
148	0
158	1
168	1
178	0
188	0
198	0
208	1
218	1
228	0
238	0
248	0
258	0
268	0
278	0
288	0
298	0
308	1
318	0
328	0
338	0
348	1
358	0
368	0
378	0
388	0
398	0
408	0
418	0
428	0
438	0
448	4
458	1
468	0
478	0
488	0
498	0
508	0
518	1
528	0
538	0
548	1
558	0
568	0
578	1
588	0
598	0
608	1
618	1
628	0
638	0
648	0
658	0
668	1
678	1
688	0
698	0
708	0
718	0
728	0
738	0
748	0
758	0
768	0
778	0
788	0
798	0
808	1
818	0
828	0
838	0
848	0
858	0
868	0
878	0
888	0
898	0
908	0
918	0
928	0
938	1
948	0
958	0
968	1
978	0
988	0
998	0
1008	0
1018	0
1028	0
1038	0
1048	2
1058	0
1068	1
1078	0
1088	0
1098	1
1108	0
1118	0
1128	0
1138	0
1148	0
1158	0
1168	0
1178	0
1188	0
1198	0
1208	0
1218	0
1228	0
1238	0
1248	0
1258	0
1268	0
1278	0
1288	0
1298	0
1308	0
1318	0
1328	0
1338	1
1348	0
1358	0
1368	0
1378	0
1388	0
1398	0
1408	1
1418	0
1428	0
1438	0
1448	0
1458	0
1468	0
1478	0
1488	0
1498	0
1508	0
1518	0
1528	0
1538	0
1548	0
1558	0
1568	0
1578	0
1588	0
1598	0
1608	0
1618	0
1628	0
1638	0
1648	0
1658	1
1668	0
1678	0
1688	0
1698	0
1708	0
1718	0
1728	0
1738	0
1748	0
1758	0
1768	0
1778	0
1788	0
1798	0
1808	0
1818	0
1828	2
1838	0
1848	0
1858	0
1868	0
1878	1
1888	0
1898	1
1908	2
1918	1
1928	0
1938	0
1948	0
1958	0
1968	0
1978	0
1988	0
1998	0
2008	0
2018	0
2028	0
2038	0
2048	0
2058	0
2068	0
2078	0
2088	0
2098	0
2108	0
2118	0
2128	0
2138	0
2148	0
2158	0
2168	0
2178	0
2188	0
2198	0
2208	0
2218	0
2228	0
2238	0
2248	0
2258	2
2268	0
2278	0
2288	0
2298	1
2308	0
2318	0
2328	1
2338	1
2348	0
2358	0
2368	1
2378	0
2388	1
2398	0
2408	1
2418	0
2428	0
2438	0
2448	0
2458	0
2468	0
2478	0
2488	0
2498	0
2508	0
2518	1
2528	1
2538	0
2548	1
2558	0
2568	0
2578	0
2588	0
2598	0
2608	1
2618	0
2628	1
2638	0
2648	0
2658	0
2668	0
2678	0
2688	0
2698	0
2708	0
2718	0
2728	0
2738	2
2748	0
2758	0
2768	0
2778	0
2788	0
2798	0
2808	2
2818	0
2828	0
2838	0
2848	0
2858	0
2868	0
2878	1
2888	0
2898	0
2908	0
2918	2
2928	0
2938	1
2948	1
2958	2
2968	0
2978	0
2988	1
2998	0
