x	y
2850.0	2.0
2950.0	0.0
3050.0	0.0
3150.0	0.0
3250.0	0.0
3350.0	1.0
3450.0	0.0
3550.0	0.0
3650.0	1.0
3750.0	1.0
3850.0	2.0
3950.0	4.0
4050.0	4.0
4150.0	4.0
4250.0	1.0
4350.0	6.0
4450.0	5.0
4550.0	6.0
4650.0	6.0
4750.0	8.0
4850.0	3.0
4950.0	7.0
5050.0	3.0
5150.0	3.0
5250.0	9.0
5350.0	6.0
5450.0	6.0
5550.0	11.0
5650.0	10.0
5750.0	10.0
5850.0	6.0
5950.0	6.0
6050.0	13.0
6150.0	6.0
6250.0	9.0
6350.0	5.0
6450.0	6.0
6550.0	14.0
6650.0	10.0
6750.0	10.0
6850.0	11.0
6950.0	8.0
7050.0	11.0
7150.0	5.0
7250.0	10.0
7350.0	9.0
7450.0	10.0
7550.0	4.0
7650.0	11.0
7750.0	11.0
7850.0	2.0
7950.0	10.0
8050.0	11.0
8150.0	10.0
8250.0	7.0
8350.0	9.0
8450.0	11.0
8550.0	10.0
8650.0	3.0
8750.0	11.0
8850.0	4.0
8950.0	7.0
9050.0	7.0
9150.0	5.0
9250.0	6.0
9350.0	5.0
9450.0	2.0
9550.0	6.0
9650.0	5.0
9750.0	4.0
9850.0	6.0
9950.0	3.0
10050.0	7.0
10150.0	5.0
10250.0	5.0
10350.0	10.0
10450.0	5.0
10550.0	5.0
10650.0	7.0
10750.0	3.0
10850.0	2.0
10950.0	3.0
11050.0	2.0
11150.0	2.0
11250.0	4.0
11350.0	2.0
11450.0	3.0
11550.0	3.0
11650.0	4.0
11750.0	3.0
11850.0	0.0
11950.0	1.0
12050.0	1.0
12150.0	5.0
12250.0	2.0
12350.0	2.0
12450.0	3.0
12550.0	2.0
12650.0	2.0
12750.0	0.0
12850.0	1.0
12950.0	2.0
13050.0	1.0
13150.0	2.0
13250.0	1.0
13350.0	2.0
13450.0	2.0
13550.0	2.0
13650.0	1.0
13750.0	1.0
13850.0	1.0
13950.0	3.0
14050.0	2.0
14150.0	0.0
14250.0	0.0
14350.0	3.0
14450.0	1.0
14550.0	0.0
14650.0	1.0
14750.0	0.0
14850.0	2.0
14950.0	1.0
15050.0	2.0
15150.0	1.0
15250.0	0.0
15350.0	3.0
15450.0	0.0
15550.0	0.0
15650.0	1.0
15750.0	0.0
15850.0	1.0
15950.0	0.0
16050.0	1.0
16150.0	2.0
16250.0	1.0
16350.0	3.0
16450.0	1.0
16550.0	0.0
16650.0	1.0
16750.0	2.0
16850.0	0.0
16950.0	0.0
17050.0	0.0
17150.0	0.0
17250.0	0.0
17350.0	0.0
17450.0	0.0
17550.0	1.0
17650.0	0.0
17750.0	0.0
17850.0	0.0
17950.0	1.0
18050.0	0.0
18150.0	0.0
18250.0	0.0
18350.0	1.0
18450.0	0.0
18550.0	0.0
18650.0	1.0
18750.0	0.0
18850.0	1.0
18950.0	0.0
19050.0	1.0
19150.0	0.0
19250.0	0.0
19350.0	1.0
19450.0	0.0
19550.0	0.0
19650.0	1.0
19750.0	0.0
19850.0	0.0
19950.0	0.0
20050.0	0.0
20150.0	0.0
20250.0	0.0
20350.0	0.0
20450.0	0.0
20550.0	1.0
20650.0	0.0
20750.0	0.0
20850.0	0.0
20950.0	0.0
21050.0	2.0
21150.0	0.0
21250.0	0.0
21350.0	1.0
21450.0	0.0
21550.0	0.0
21650.0	1.0
21750.0	1.0
21850.0	0.0
21950.0	0.0
22050.0	0.0
22150.0	0.0
22250.0	0.0
22350.0	1.0
22450.0	0.0
22550.0	0.0
22650.0	0.0
22750.0	0.0
22850.0	0.0
22950.0	0.0
23050.0	0.0
23150.0	0.0
23250.0	0.0
23350.0	0.0
23450.0	0.0
23550.0	0.0
23650.0	0.0
23750.0	0.0
23850.0	0.0
23950.0	0.0
24050.0	0.0
24150.0	0.0
24250.0	0.0
24350.0	0.0
24450.0	0.0
24550.0	0.0
24650.0	1.0
24750.0	0.0
24850.0	0.0
24950.0	0.0
25050.0	0.0
25150.0	0.0
25250.0	0.0
25350.0	1.0
25450.0	0.0
25550.0	0.0
25650.0	0.0
25750.0	0.0
25850.0	0.0
25950.0	0.0
26050.0	0.0
26150.0	0.0
26250.0	0.0
26350.0	1.0
26450.0	0.0
26550.0	0.0
26650.0	0.0
26750.0	0.0
26850.0	0.0
26950.0	0.0
27050.0	0.0
27150.0	0.0
27250.0	0.0
27350.0	0.0
27450.0	0.0
27550.0	1.0
27650.0	0.0
27750.0	0.0
27850.0	0.0
27950.0	0.0
28050.0	0.0
28150.0	0.0
28250.0	0.0
28350.0	0.0
28450.0	0.0
28550.0	0.0
28650.0	0.0
28750.0	0.0
28850.0	0.0
28950.0	0.0
29050.0	0.0
29150.0	0.0
29250.0	0.0
29350.0	0.0
29450.0	0.0
29550.0	0.0
29650.0	1.0
29750.0	0.0
29850.0	0.0
29950.0	0.0
30050.0	0.0
30150.0	0.0
30250.0	0.0
30350.0	0.0
30450.0	0.0
30550.0	0.0
30650.0	0.0
30750.0	0.0
30850.0	0.0
30950.0	0.0
31050.0	0.0
31150.0	0.0
31250.0	0.0
31350.0	0.0
31450.0	0.0
31550.0	0.0
31650.0	0.0
31750.0	0.0
31850.0	0.0
31950.0	0.0
32050.0	0.0
32150.0	0.0
32250.0	0.0
32350.0	0.0
32450.0	0.0
32550.0	0.0
32650.0	0.0
32750.0	0.0
32850.0	0.0
32950.0	0.0
33050.0	0.0
33150.0	0.0
33250.0	0.0
33350.0	0.0
33450.0	0.0
33550.0	0.0
33650.0	0.0
33750.0	0.0
33850.0	0.0
33950.0	0.0
34050.0	0.0
34150.0	0.0
34250.0	0.0
34350.0	0.0
34450.0	0.0
34550.0	0.0
34650.0	0.0
34750.0	0.0
34850.0	0.0
34950.0	0.0
35050.0	0.0
35150.0	0.0
35250.0	0.0
35350.0	0.0
35450.0	0.0
35550.0	0.0
35650.0	0.0
35750.0	0.0
35850.0	0.0
35950.0	0.0
36050.0	0.0
36150.0	0.0
36250.0	0.0
36350.0	0.0
36450.0	0.0
36550.0	0.0
36650.0	0.0
36750.0	0.0
36850.0	0.0
36950.0	0.0
37050.0	0.0
37150.0	0.0
37250.0	0.0
37350.0	0.0
37450.0	0.0
37550.0	0.0
37650.0	0.0
37750.0	0.0
37850.0	0.0
37950.0	0.0
38050.0	0.0
38150.0	0.0
38250.0	0.0
38350.0	0.0
38450.0	0.0
38550.0	0.0
38650.0	0.0
38750.0	0.0
38850.0	0.0
38950.0	0.0
39050.0	0.0
39150.0	0.0
39250.0	0.0
39350.0	0.0
39450.0	0.0
39550.0	0.0
39650.0	0.0
39750.0	0.0
39850.0	0.0
39950.0	0.0
40050.0	0.0
40150.0	0.0
40250.0	0.0
40350.0	0.0
40450.0	0.0
40550.0	0.0
40650.0	0.0
40750.0	0.0
40850.0	0.0
40950.0	0.0
41050.0	0.0
41150.0	0.0
41250.0	0.0
41350.0	0.0
41450.0	0.0
41550.0	0.0
41650.0	0.0
41750.0	0.0
41850.0	0.0
41950.0	0.0
42050.0	0.0
42150.0	0.0
42250.0	0.0
42350.0	0.0
42450.0	0.0
42550.0	0.0
42650.0	0.0
42750.0	0.0
42850.0	0.0
42950.0	0.0
43050.0	0.0
43150.0	0.0
43250.0	0.0
43350.0	0.0
43450.0	0.0
43550.0	0.0
43650.0	0.0
43750.0	0.0
43850.0	0.0
43950.0	0.0
44050.0	0.0
44150.0	0.0
44250.0	0.0
44350.0	0.0
44450.0	0.0
44550.0	0.0
44650.0	0.0
44750.0	0.0
44850.0	0.0
44950.0	0.0
45050.0	0.0
45150.0	0.0
45250.0	0.0
45350.0	0.0
45450.0	0.0
45550.0	0.0
45650.0	0.0
45750.0	0.0
45850.0	0.0
45950.0	0.0
46050.0	0.0
46150.0	0.0
46250.0	0.0
46350.0	0.0
46450.0	0.0
46550.0	0.0
46650.0	0.0
46750.0	0.0
46850.0	0.0
46950.0	0.0
47050.0	0.0
47150.0	0.0
47250.0	0.0
47350.0	0.0
47450.0	0.0
47550.0	0.0
47650.0	0.0
47750.0	0.0
47850.0	0.0
47950.0	0.0
48050.0	0.0
48150.0	0.0
48250.0	0.0
48350.0	0.0
48450.0	0.0
48550.0	0.0
48650.0	0.0
48750.0	0.0
48850.0	0.0
48950.0	0.0
49050.0	0.0
49150.0	0.0
49250.0	0.0
49350.0	0.0
49450.0	0.0
49550.0	0.0
49650.0	0.0
49750.0	0.0
49850.0	0.0
49950.0	0.0
50050.0	0.0
50150.0	0.0
50250.0	0.0
50350.0	0.0
50450.0	0.0
50550.0	0.0
50650.0	0.0
50750.0	0.0
50850.0	0.0
50950.0	0.0
51050.0	0.0
51150.0	0.0
51250.0	0.0
51350.0	0.0
51450.0	0.0
51550.0	0.0
51650.0	0.0
51750.0	0.0
51850.0	0.0
51950.0	0.0
52050.0	0.0
52150.0	0.0
52250.0	0.0
52350.0	0.0
52450.0	0.0
52550.0	0.0
52650.0	0.0
52750.0	0.0
52850.0	0.0
52950.0	0.0
53050.0	0.0
53150.0	0.0
53250.0	0.0
53350.0	0.0
53450.0	0.0
53550.0	0.0
53650.0	0.0
53750.0	0.0
53850.0	0.0
53950.0	0.0
54050.0	0.0
54150.0	0.0
54250.0	0.0
54350.0	0.0
54450.0	0.0
54550.0	0.0
54650.0	0.0
54750.0	0.0
54850.0	0.0
54950.0	0.0
55050.0	0.0
55150.0	0.0
55250.0	0.0
55350.0	0.0
55450.0	0.0
55550.0	0.0
55650.0	0.0
55750.0	0.0
55850.0	0.0
55950.0	0.0
56050.0	0.0
56150.0	0.0
56250.0	0.0
56350.0	0.0
56450.0	0.0
56550.0	0.0
56650.0	0.0
56750.0	0.0
56850.0	0.0
56950.0	0.0
57050.0	0.0
57150.0	0.0
57250.0	0.0
57350.0	0.0
57450.0	0.0
57550.0	0.0
57650.0	0.0
57750.0	0.0
57850.0	0.0
57950.0	0.0
58050.0	0.0
58150.0	0.0
58250.0	0.0
58350.0	0.0
58450.0	0.0
58550.0	0.0
58650.0	0.0
58750.0	0.0
58850.0	0.0
58950.0	0.0
59050.0	0.0
59150.0	0.0
59250.0	0.0
59350.0	0.0
59450.0	0.0
59550.0	0.0
59650.0	0.0
59750.0	0.0
59850.0	0.0
