x	y
2193.0	1.0
2293.0	0.0
2393.0	0.0
2493.0	0.0
2593.0	0.0
2693.0	0.0
2793.0	0.0
2893.0	0.0
2993.0	0.0
3093.0	0.0
3193.0	0.0
3293.0	0.0
3393.0	0.0
3493.0	0.0
3593.0	0.0
3693.0	0.0
3793.0	0.0
3893.0	0.0
3993.0	0.0
4093.0	0.0
4193.0	0.0
4293.0	0.0
4393.0	0.0
4493.0	0.0
4593.0	0.0
4693.0	0.0
4793.0	0.0
4893.0	0.0
4993.0	0.0
5093.0	0.0
5193.0	0.0
5293.0	0.0
5393.0	0.0
5493.0	0.0
5593.0	0.0
5693.0	0.0
5793.0	0.0
5893.0	0.0
5993.0	0.0
6093.0	0.0
6193.0	0.0
6293.0	0.0
6393.0	0.0
6493.0	0.0
6593.0	0.0
6693.0	0.0
6793.0	0.0
6893.0	0.0
6993.0	0.0
7093.0	0.0
7193.0	0.0
7293.0	0.0
7393.0	0.0
7493.0	0.0
7593.0	0.0
7693.0	0.0
7793.0	0.0
7893.0	0.0
7993.0	0.0
8093.0	0.0
8193.0	0.0
8293.0	0.0
8393.0	0.0
8493.0	0.0
8593.0	0.0
8693.0	0.0
8793.0	0.0
8893.0	0.0
8993.0	0.0
9093.0	0.0
9193.0	0.0
9293.0	0.0
9393.0	0.0
9493.0	0.0
9593.0	0.0
9693.0	0.0
9793.0	0.0
9893.0	0.0
9993.0	0.0
10093.0	0.0
10193.0	0.0
10293.0	0.0
10393.0	0.0
10493.0	0.0
10593.0	0.0
10693.0	0.0
10793.0	0.0
10893.0	0.0
10993.0	0.0
11093.0	0.0
11193.0	0.0
11293.0	0.0
11393.0	0.0
11493.0	0.0
11593.0	0.0
11693.0	0.0
11793.0	0.0
11893.0	0.0
11993.0	0.0
12093.0	0.0
12193.0	0.0
12293.0	0.0
12393.0	0.0
12493.0	0.0
12593.0	0.0
12693.0	0.0
12793.0	0.0
12893.0	0.0
12993.0	0.0
13093.0	0.0
13193.0	0.0
13293.0	0.0
13393.0	0.0
13493.0	0.0
13593.0	0.0
13693.0	0.0
13793.0	0.0
13893.0	0.0
13993.0	0.0
14093.0	0.0
14193.0	0.0
14293.0	0.0
14393.0	0.0
14493.0	0.0
14593.0	0.0
14693.0	0.0
14793.0	0.0
14893.0	0.0
14993.0	0.0
15093.0	0.0
15193.0	0.0
15293.0	0.0
15393.0	0.0
15493.0	0.0
15593.0	0.0
15693.0	0.0
15793.0	0.0
15893.0	0.0
15993.0	0.0
16093.0	0.0
16193.0	0.0
16293.0	0.0
16393.0	0.0
16493.0	0.0
16593.0	0.0
16693.0	0.0
16793.0	0.0
16893.0	0.0
16993.0	0.0
17093.0	0.0
17193.0	0.0
17293.0	0.0
17393.0	0.0
17493.0	0.0
17593.0	0.0
17693.0	0.0
17793.0	0.0
17893.0	0.0
17993.0	0.0
18093.0	0.0
18193.0	0.0
18293.0	0.0
18393.0	0.0
18493.0	0.0
18593.0	0.0
18693.0	0.0
18793.0	0.0
18893.0	0.0
18993.0	0.0
19093.0	0.0
19193.0	0.0
19293.0	0.0
19393.0	0.0
19493.0	0.0
19593.0	0.0
19693.0	0.0
19793.0	0.0
19893.0	0.0
19993.0	0.0
20093.0	0.0
20193.0	0.0
20293.0	0.0
20393.0	1.0
20493.0	0.0
20593.0	0.0
20693.0	0.0
20793.0	0.0
20893.0	0.0
20993.0	0.0
21093.0	0.0
21193.0	0.0
21293.0	0.0
21393.0	0.0
21493.0	0.0
21593.0	0.0
21693.0	0.0
21793.0	0.0
21893.0	0.0
21993.0	0.0
22093.0	0.0
22193.0	0.0
22293.0	0.0
22393.0	0.0
22493.0	0.0
22593.0	0.0
22693.0	0.0
22793.0	0.0
22893.0	0.0
22993.0	0.0
23093.0	0.0
23193.0	0.0
23293.0	0.0
23393.0	1.0
23493.0	0.0
23593.0	0.0
23693.0	0.0
23793.0	0.0
23893.0	0.0
23993.0	0.0
24093.0	0.0
24193.0	0.0
24293.0	0.0
24393.0	0.0
24493.0	0.0
24593.0	0.0
24693.0	0.0
24793.0	0.0
24893.0	0.0
24993.0	0.0
25093.0	0.0
25193.0	0.0
25293.0	0.0
25393.0	0.0
25493.0	0.0
25593.0	0.0
25693.0	1.0
25793.0	0.0
25893.0	0.0
25993.0	0.0
26093.0	0.0
26193.0	0.0
26293.0	0.0
26393.0	0.0
26493.0	0.0
26593.0	0.0
26693.0	0.0
26793.0	0.0
26893.0	0.0
26993.0	0.0
27093.0	0.0
27193.0	0.0
27293.0	0.0
27393.0	0.0
27493.0	0.0
27593.0	0.0
27693.0	0.0
27793.0	0.0
27893.0	0.0
27993.0	1.0
28093.0	0.0
28193.0	0.0
28293.0	0.0
28393.0	0.0
28493.0	0.0
28593.0	0.0
28693.0	0.0
28793.0	0.0
28893.0	1.0
28993.0	0.0
29093.0	0.0
29193.0	0.0
29293.0	0.0
29393.0	0.0
29493.0	0.0
29593.0	0.0
29693.0	0.0
29793.0	0.0
29893.0	0.0
29993.0	0.0
30093.0	0.0
30193.0	0.0
30293.0	0.0
30393.0	0.0
