x	y
6	1
11	1
16	0
21	0
26	1
31	0
36	0
41	0
46	0
51	0
56	0
61	0
66	0
71	1
76	0
81	0
86	0
91	0
96	0
101	0
106	0
111	0
116	0
121	0
126	0
131	0
136	0
141	0
146	0
151	0
156	0
161	0
166	0
171	0
176	0
181	0
186	0
191	0
196	0
201	0
206	0
211	0
216	1
221	1
226	0
231	0
236	0
241	0
246	0
251	0
256	2
261	0
266	0
271	0
276	0
281	0
286	0
291	0
296	0
301	0
306	0
311	2
316	1
321	0
326	0
331	0
336	0
341	0
346	0
351	0
356	0
361	2
366	3
371	1
376	2
381	3
386	4
391	5
396	3
401	3
406	1
411	5
416	0
421	2
426	1
431	0
436	0
441	0
446	0
451	0
456	0
461	0
466	0
471	0
476	0
481	0
486	0
491	0
496	1
501	0
506	0
511	0
516	0
521	0
526	0
531	0
536	0
541	0
546	0
551	0
556	0
561	0
566	0
571	0
576	0
581	0
586	0
591	0
596	0
601	1
606	0
611	1
616	0
621	2
626	1
631	1
636	0
641	0
646	1
651	1
656	3
661	3
666	4
671	4
676	3
681	5
686	2
691	4
696	4
701	0
706	0
711	0
716	0
721	0
726	0
731	0
736	0
741	0
746	0
751	0
756	0
761	0
766	0
771	0
776	0
781	0
786	0
791	0
796	0
801	0
806	0
811	0
816	0
821	0
826	0
831	0
836	0
841	0
846	0
851	0
856	0
861	0
866	0
871	0
876	0
881	0
886	0
891	0
896	0
901	0
906	0
911	0
916	0
921	0
926	1
931	1
936	0
941	0
946	0
951	0
956	0
961	0
966	0
971	0
976	0
981	3
986	0
991	0
996	0
1001	0
1006	0
1011	1
1016	0
1021	2
1026	1
1031	0
1036	0
1041	0
1046	0
1051	0
1056	0
1061	0
1066	0
1071	0
1076	0
1081	1
1086	1
1091	1
1096	0
1101	0
1106	0
1111	0
1116	0
1121	0
1126	0
1131	0
1136	0
1141	0
1146	0
1151	1
1156	2
1161	1
1166	0
1171	0
1176	0
1181	0
1186	2
1191	1
1196	2
1201	0
1206	0
1211	0
1216	0
1221	0
1226	0
1231	0
1236	2
1241	0
1246	3
1251	2
1256	0
1261	0
1266	0
1271	0
1276	0
1281	0
1286	0
1291	0
1296	0
1301	1
1306	2
1311	0
1316	0
1321	0
1326	0
1331	0
1336	0
1341	0
1346	0
1351	0
1356	0
1361	0
1366	0
1371	0
1376	0
1381	0
1386	0
1391	0
1396	0
1401	0
1406	0
1411	0
1416	0
1421	0
1426	0
1431	0
1436	0
1441	0
1446	0
1451	0
1456	0
1461	0
1466	0
1471	0
1476	0
1481	0
1486	0
1491	0
1496	0
1501	2
1506	0
1511	0
1516	0
1521	0
1526	0
1531	0
1536	0
1541	0
1546	0
1551	0
1556	0
1561	0
1566	0
1571	0
1576	0
1581	0
1586	0
1591	0
1596	0
1601	0
1606	0
1611	0
1616	0
1621	0
1626	0
1631	0
1636	0
1641	0
1646	4
1651	3
1656	0
1661	0
1666	0
1671	0
1676	0
1681	0
1686	0
1691	0
1696	0
1701	0
1706	0
1711	0
1716	0
1721	0
1726	0
1731	0
1736	0
1741	0
1746	0
1751	0
1756	0
1761	0
1766	0
1771	0
1776	2
1781	0
1786	3
1791	3
1796	0
1801	0
1806	0
1811	0
1816	0
1821	0
1826	0
1831	0
1836	0
1841	0
1846	0
1851	0
1856	0
1861	0
1866	0
1871	0
1876	0
1881	0
1886	0
1891	0
1896	0
1901	0
1906	0
1911	0
1916	1
1921	2
1926	2
1931	1
1936	2
1941	0
1946	0
1951	0
1956	0
1961	0
1966	0
1971	0
1976	0
1981	0
1986	0
1991	0
1996	0
2001	0
2006	0
2011	0
2016	0
2021	0
2026	0
2031	0
2036	2
2041	2
2046	3
2051	5
2056	1
2061	3
2066	0
2071	0
2076	2
2081	3
2086	0
2091	3
2096	1
2101	4
2106	2
2111	0
2116	0
2121	0
2126	0
2131	0
2136	0
2141	0
2146	0
2151	0
2156	0
2161	0
2166	1
2171	0
2176	3
2181	0
2186	0
2191	0
2196	0
2201	0
2206	0
2211	1
2216	2
2221	4
2226	3
2231	0
2236	0
2241	0
2246	2
2251	1
2256	1
2261	2
2266	2
2271	1
2276	4
2281	4
2286	5
2291	5
2296	3
2301	5
2306	5
2311	3
2316	3
2321	4
2326	5
2331	0
2336	1
2341	0
2346	1
2351	0
2356	0
2361	0
2366	1
2371	2
2376	0
2381	0
2386	0
2391	0
2396	0
2401	0
2406	0
2411	0
2416	0
2421	4
2426	4
2431	1
2436	0
2441	0
2446	0
2451	1
2456	2
2461	4
2466	2
2471	5
2476	0
2481	4
2486	2
2491	4
2496	4
2501	1
2506	2
2511	0
2516	0
2521	0
2526	0
2531	0
2536	0
2541	0
2546	0
2551	0
2556	0
2561	4
2566	1
2571	4
2576	4
2581	0
2586	0
2591	0
2596	0
2601	0
2606	0
2611	0
2616	0
2621	0
2626	0
2631	0
2636	0
2641	0
2646	0
2651	0
2656	0
2661	0
2666	0
2671	0
2676	0
2681	0
2686	0
2691	0
2696	0
2701	0
2706	0
2711	0
2716	0
2721	0
2726	0
2731	0
2736	0
2741	0
2746	0
2751	3
2756	1
2761	0
2766	0
2771	0
2776	0
2781	0
2786	0
2791	2
2796	2
2801	2
2806	0
2811	0
2816	0
2821	0
2826	0
2831	0
2836	0
2841	0
2846	0
2851	0
2856	0
2861	0
2866	0
2871	0
2876	0
2881	0
2886	2
2891	3
2896	0
