x	y
93.0	2.0
193.0	0.0
293.0	2.0
393.0	0.0
493.0	1.0
593.0	2.0
693.0	0.0
793.0	1.0
893.0	2.0
993.0	0.0
1093.0	1.0
1193.0	2.0
1293.0	1.0
1393.0	1.0
1493.0	0.0
1593.0	1.0
1693.0	1.0
1793.0	2.0
1893.0	1.0
1993.0	1.0
2093.0	0.0
2193.0	2.0
2293.0	0.0
2393.0	0.0
2493.0	0.0
2593.0	0.0
2693.0	2.0
2793.0	2.0
2893.0	0.0
2993.0	1.0
3093.0	2.0
3193.0	1.0
3293.0	2.0
3393.0	2.0
3493.0	0.0
3593.0	4.0
3693.0	1.0
3793.0	1.0
3893.0	0.0
3993.0	3.0
4093.0	0.0
4193.0	2.0
4293.0	0.0
4393.0	2.0
4493.0	1.0
4593.0	4.0
4693.0	0.0
4793.0	1.0
4893.0	1.0
4993.0	1.0
5093.0	3.0
5193.0	2.0
5293.0	1.0
5393.0	2.0
5493.0	2.0
5593.0	2.0
5693.0	2.0
5793.0	0.0
5893.0	0.0
5993.0	0.0
6093.0	0.0
6193.0	2.0
6293.0	2.0
6393.0	2.0
6493.0	4.0
6593.0	1.0
6693.0	2.0
6793.0	1.0
6893.0	0.0
6993.0	2.0
7093.0	0.0
7193.0	4.0
7293.0	0.0
7393.0	0.0
7493.0	1.0
7593.0	1.0
7693.0	2.0
7793.0	2.0
7893.0	1.0
7993.0	0.0
8093.0	2.0
8193.0	1.0
8293.0	1.0
8393.0	1.0
8493.0	3.0
8593.0	2.0
8693.0	2.0
8793.0	1.0
8893.0	0.0
8993.0	1.0
9093.0	1.0
9193.0	2.0
9293.0	3.0
9393.0	0.0
9493.0	1.0
9593.0	3.0
9693.0	1.0
9793.0	4.0
9893.0	2.0
9993.0	2.0
10093.0	1.0
10193.0	1.0
10293.0	3.0
10393.0	2.0
10493.0	2.0
10593.0	1.0
10693.0	4.0
10793.0	1.0
10893.0	3.0
10993.0	1.0
11093.0	4.0
11193.0	2.0
11293.0	0.0
11393.0	2.0
11493.0	2.0
11593.0	4.0
11693.0	1.0
11793.0	3.0
11893.0	2.0
11993.0	4.0
12093.0	1.0
12193.0	4.0
12293.0	1.0
12393.0	2.0
12493.0	1.0
12593.0	1.0
12693.0	4.0
12793.0	4.0
12893.0	1.0
12993.0	6.0
13093.0	3.0
13193.0	2.0
13293.0	2.0
13393.0	3.0
13493.0	3.0
13593.0	0.0
13693.0	3.0
13793.0	0.0
13893.0	2.0
13993.0	4.0
14093.0	3.0
14193.0	1.0
14293.0	0.0
14393.0	1.0
14493.0	5.0
14593.0	4.0
14693.0	2.0
14793.0	4.0
14893.0	2.0
14993.0	2.0
15093.0	4.0
15193.0	1.0
15293.0	3.0
15393.0	3.0
15493.0	1.0
15593.0	3.0
15693.0	2.0
15793.0	1.0
15893.0	2.0
15993.0	0.0
16093.0	5.0
16193.0	0.0
16293.0	0.0
16393.0	2.0
16493.0	1.0
16593.0	1.0
16693.0	3.0
16793.0	5.0
16893.0	2.0
16993.0	4.0
17093.0	0.0
17193.0	3.0
17293.0	3.0
17393.0	1.0
17493.0	3.0
17593.0	2.0
17693.0	2.0
17793.0	5.0
17893.0	0.0
17993.0	4.0
18093.0	1.0
18193.0	3.0
18293.0	1.0
18393.0	4.0
18493.0	1.0
18593.0	2.0
18693.0	0.0
18793.0	2.0
18893.0	4.0
18993.0	2.0
19093.0	2.0
19193.0	2.0
19293.0	5.0
19393.0	4.0
19493.0	1.0
19593.0	1.0
19693.0	2.0
19793.0	1.0
19893.0	2.0
19993.0	2.0
20093.0	2.0
20193.0	1.0
20293.0	1.0
20393.0	1.0
20493.0	3.0
20593.0	0.0
20693.0	3.0
20793.0	1.0
20893.0	2.0
20993.0	2.0
21093.0	1.0
21193.0	1.0
21293.0	1.0
21393.0	1.0
21493.0	2.0
21593.0	3.0
21693.0	1.0
21793.0	3.0
21893.0	4.0
21993.0	1.0
22093.0	2.0
22193.0	2.0
22293.0	1.0
22393.0	3.0
22493.0	4.0
22593.0	3.0
22693.0	2.0
22793.0	2.0
22893.0	4.0
22993.0	1.0
23093.0	2.0
23193.0	4.0
23293.0	1.0
23393.0	0.0
23493.0	1.0
23593.0	0.0
23693.0	0.0
23793.0	2.0
23893.0	3.0
23993.0	0.0
24093.0	2.0
24193.0	1.0
24293.0	3.0
24393.0	0.0
24493.0	0.0
24593.0	0.0
24693.0	0.0
24793.0	1.0
24893.0	0.0
24993.0	1.0
25093.0	2.0
25193.0	2.0
25293.0	0.0
25393.0	3.0
25493.0	1.0
25593.0	1.0
25693.0	0.0
25793.0	0.0
25893.0	0.0
25993.0	0.0
26093.0	0.0
26193.0	2.0
26293.0	0.0
26393.0	1.0
26493.0	3.0
26593.0	0.0
26693.0	1.0
26793.0	0.0
26893.0	1.0
26993.0	1.0
27093.0	1.0
27193.0	2.0
27293.0	1.0
27393.0	1.0
27493.0	1.0
27593.0	0.0
27693.0	2.0
27793.0	0.0
27893.0	2.0
27993.0	0.0
28093.0	0.0
28193.0	0.0
28293.0	3.0
28393.0	2.0
28493.0	1.0
28593.0	1.0
28693.0	3.0
28793.0	0.0
28893.0	2.0
28993.0	2.0
29093.0	0.0
29193.0	0.0
29293.0	1.0
29393.0	5.0
29493.0	1.0
29593.0	0.0
29693.0	1.0
29793.0	0.0
29893.0	1.0
29993.0	1.0
30093.0	0.0
30193.0	1.0
30293.0	0.0
30393.0	3.0
30493.0	4.0
30593.0	1.0
30693.0	2.0
30793.0	1.0
30893.0	1.0
30993.0	4.0
31093.0	1.0
31193.0	1.0
31293.0	0.0
31393.0	0.0
31493.0	1.0
31593.0	2.0
31693.0	3.0
31793.0	2.0
31893.0	4.0
31993.0	0.0
32093.0	1.0
32193.0	0.0
32293.0	0.0
32393.0	1.0
32493.0	1.0
32593.0	0.0
32693.0	3.0
32793.0	1.0
32893.0	0.0
32993.0	0.0
33093.0	1.0
33193.0	2.0
33293.0	1.0
33393.0	3.0
33493.0	0.0
33593.0	0.0
33693.0	1.0
33793.0	0.0
33893.0	1.0
33993.0	0.0
34093.0	1.0
34193.0	2.0
34293.0	2.0
34393.0	1.0
34493.0	1.0
34593.0	1.0
34693.0	3.0
34793.0	1.0
34893.0	0.0
34993.0	1.0
35093.0	0.0
35193.0	1.0
35293.0	1.0
35393.0	0.0
35493.0	0.0
35593.0	0.0
35693.0	1.0
35793.0	0.0
35893.0	0.0
35993.0	0.0
36093.0	0.0
36193.0	1.0
36293.0	1.0
36393.0	0.0
36493.0	1.0
36593.0	1.0
36693.0	0.0
36793.0	1.0
36893.0	0.0
36993.0	3.0
37093.0	0.0
37193.0	0.0
37293.0	0.0
37393.0	0.0
37493.0	0.0
37593.0	0.0
37693.0	1.0
37793.0	1.0
37893.0	1.0
37993.0	1.0
38093.0	0.0
38193.0	3.0
38293.0	0.0
38393.0	2.0
38493.0	0.0
38593.0	1.0
38693.0	3.0
38793.0	0.0
38893.0	0.0
38993.0	2.0
39093.0	2.0
39193.0	0.0
39293.0	0.0
39393.0	0.0
39493.0	1.0
39593.0	0.0
39693.0	3.0
39793.0	0.0
39893.0	0.0
39993.0	0.0
40093.0	0.0
40193.0	1.0
40293.0	0.0
40393.0	1.0
40493.0	1.0
40593.0	3.0
40693.0	0.0
40793.0	0.0
40893.0	1.0
40993.0	1.0
41093.0	2.0
41193.0	2.0
41293.0	1.0
41393.0	0.0
41493.0	0.0
41593.0	0.0
41693.0	0.0
41793.0	0.0
41893.0	0.0
41993.0	0.0
42093.0	1.0
42193.0	0.0
42293.0	1.0
42393.0	1.0
42493.0	2.0
42593.0	0.0
42693.0	1.0
42793.0	1.0
42893.0	1.0
42993.0	0.0
43093.0	1.0
43193.0	1.0
43293.0	0.0
43393.0	1.0
43493.0	2.0
43593.0	1.0
43693.0	0.0
43793.0	1.0
43893.0	2.0
43993.0	0.0
44093.0	0.0
44193.0	2.0
44293.0	0.0
44393.0	0.0
44493.0	0.0
44593.0	1.0
44693.0	0.0
44793.0	1.0
44893.0	0.0
44993.0	2.0
45093.0	0.0
45193.0	0.0
45293.0	0.0
45393.0	0.0
45493.0	0.0
45593.0	1.0
45693.0	0.0
45793.0	1.0
45893.0	0.0
45993.0	2.0
46093.0	0.0
46193.0	0.0
46293.0	1.0
46393.0	0.0
46493.0	0.0
46593.0	1.0
46693.0	0.0
46793.0	1.0
46893.0	2.0
46993.0	0.0
47093.0	0.0
47193.0	1.0
47293.0	0.0
47393.0	0.0
47493.0	0.0
47593.0	0.0
47693.0	0.0
47793.0	1.0
47893.0	1.0
47993.0	0.0
48093.0	1.0
48193.0	1.0
48293.0	1.0
48393.0	0.0
48493.0	0.0
48593.0	0.0
48693.0	1.0
48793.0	1.0
48893.0	0.0
48993.0	1.0
49093.0	0.0
49193.0	0.0
49293.0	0.0
49393.0	1.0
49493.0	0.0
49593.0	3.0
49693.0	1.0
49793.0	0.0
49893.0	0.0
49993.0	1.0
50093.0	0.0
50193.0	0.0
50293.0	0.0
50393.0	1.0
50493.0	0.0
50593.0	0.0
50693.0	0.0
50793.0	1.0
50893.0	0.0
50993.0	0.0
51093.0	2.0
51193.0	0.0
51293.0	1.0
51393.0	2.0
51493.0	1.0
51593.0	0.0
51693.0	1.0
51793.0	0.0
51893.0	1.0
51993.0	0.0
52093.0	0.0
52193.0	0.0
52293.0	0.0
52393.0	0.0
52493.0	1.0
52593.0	0.0
52693.0	1.0
52793.0	1.0
52893.0	0.0
52993.0	0.0
53093.0	0.0
53193.0	1.0
53293.0	0.0
53393.0	0.0
53493.0	1.0
53593.0	1.0
53693.0	0.0
53793.0	0.0
53893.0	0.0
53993.0	0.0
54093.0	0.0
54193.0	0.0
54293.0	0.0
54393.0	1.0
54493.0	0.0
54593.0	0.0
54693.0	0.0
54793.0	0.0
54893.0	0.0
54993.0	0.0
55093.0	1.0
55193.0	0.0
55293.0	1.0
55393.0	1.0
55493.0	1.0
55593.0	0.0
55693.0	0.0
55793.0	0.0
55893.0	0.0
55993.0	0.0
56093.0	0.0
56193.0	0.0
56293.0	0.0
56393.0	0.0
56493.0	1.0
56593.0	0.0
56693.0	1.0
56793.0	0.0
56893.0	0.0
56993.0	0.0
57093.0	0.0
57193.0	0.0
57293.0	1.0
57393.0	1.0
57493.0	0.0
57593.0	0.0
57693.0	0.0
57793.0	1.0
57893.0	0.0
57993.0	0.0
58093.0	1.0
58193.0	1.0
58293.0	0.0
58393.0	0.0
58493.0	1.0
58593.0	0.0
58693.0	0.0
58793.0	1.0
58893.0	0.0
58993.0	0.0
59093.0	0.0
59193.0	0.0
59293.0	0.0
59393.0	0.0
59493.0	2.0
59593.0	1.0
59693.0	0.0
59793.0	0.0
59893.0	0.0
59993.0	1.0
60093.0	0.0
