x	y
2.0	1.0
3.0	0.0
4.0	1.0
5.0	3.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.0
10.0	0.0
11.0	1.0
12.0	1.0
13.0	0.0
14.0	0.0
15.0	1.0
16.0	2.0
17.0	1.0
18.0	1.0
19.0	1.0
20.0	1.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	1.0
25.0	1.0
26.0	2.0
27.0	0.0
28.0	1.0
29.0	3.0
30.0	3.0
31.0	1.0
32.0	0.0
33.0	0.0
34.0	1.0
35.0	1.0
36.0	0.0
37.0	1.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	1.0
44.0	1.0
45.0	0.0
46.0	2.0
47.0	0.0
48.0	1.0
49.0	0.0
50.0	1.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	1.0
55.0	1.0
56.0	2.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	4.0
61.0	0.0
62.0	2.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	1.0
67.0	0.0
68.0	1.0
69.0	1.0
70.0	3.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	1.0
77.0	0.0
78.0	2.0
79.0	0.0
80.0	2.0
81.0	3.0
82.0	1.0
83.0	1.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	1.0
89.0	2.0
90.0	0.0
91.0	0.0
92.0	1.0
93.0	1.0
94.0	1.0
95.0	1.0
96.0	0.0
97.0	1.0
98.0	0.0
99.0	1.0
100.0	2.0
101.0	1.0
102.0	2.0
103.0	0.0
104.0	2.0
105.0	1.0
106.0	0.0
107.0	1.0
108.0	1.0
109.0	1.0
110.0	4.0
111.0	0.0
112.0	2.0
113.0	0.0
114.0	0.0
115.0	3.0
116.0	1.0
117.0	2.0
118.0	0.0
119.0	2.0
120.0	0.0
121.0	0.0
122.0	1.0
123.0	1.0
124.0	1.0
125.0	1.0
126.0	1.0
127.0	1.0
128.0	0.0
129.0	1.0
130.0	2.0
131.0	0.0
132.0	3.0
133.0	0.0
134.0	2.0
135.0	0.0
136.0	0.0
137.0	0.0
138.0	2.0
139.0	0.0
140.0	2.0
141.0	2.0
142.0	1.0
143.0	0.0
144.0	1.0
145.0	2.0
146.0	2.0
147.0	0.0
148.0	1.0
149.0	0.0
150.0	1.0
151.0	0.0
152.0	3.0
153.0	0.0
154.0	2.0
155.0	0.0
156.0	0.0
157.0	0.0
158.0	0.0
159.0	3.0
160.0	4.0
161.0	1.0
162.0	4.0
163.0	2.0
164.0	1.0
165.0	2.0
166.0	2.0
167.0	1.0
168.0	2.0
169.0	2.0
170.0	1.0
171.0	1.0
172.0	1.0
173.0	1.0
174.0	0.0
175.0	0.0
176.0	0.0
177.0	1.0
178.0	1.0
179.0	0.0
180.0	1.0
181.0	2.0
182.0	1.0
183.0	1.0
184.0	3.0
185.0	1.0
186.0	1.0
187.0	1.0
188.0	2.0
189.0	0.0
190.0	1.0
191.0	1.0
192.0	1.0
193.0	2.0
194.0	0.0
195.0	0.0
196.0	2.0
197.0	2.0
198.0	1.0
199.0	0.0
200.0	2.0
201.0	1.0
202.0	1.0
203.0	3.0
204.0	2.0
205.0	2.0
206.0	0.0
207.0	0.0
208.0	2.0
209.0	1.0
210.0	0.0
211.0	2.0
212.0	4.0
213.0	0.0
214.0	1.0
215.0	1.0
216.0	0.0
217.0	2.0
218.0	1.0
219.0	2.0
220.0	3.0
221.0	2.0
222.0	1.0
223.0	2.0
224.0	2.0
225.0	5.0
226.0	0.0
227.0	5.0
228.0	2.0
229.0	2.0
230.0	0.0
231.0	3.0
232.0	2.0
233.0	5.0
234.0	1.0
235.0	4.0
236.0	2.0
237.0	1.0
238.0	4.0
239.0	1.0
240.0	5.0
241.0	1.0
242.0	1.0
243.0	1.0
244.0	2.0
245.0	2.0
246.0	2.0
247.0	2.0
248.0	0.0
249.0	3.0
250.0	2.0
251.0	3.0
252.0	5.0
253.0	3.0
254.0	0.0
255.0	3.0
256.0	2.0
257.0	4.0
258.0	1.0
259.0	5.0
260.0	1.0
261.0	3.0
262.0	1.0
263.0	2.0
264.0	2.0
265.0	4.0
266.0	1.0
267.0	2.0
268.0	1.0
269.0	7.0
270.0	2.0
271.0	5.0
272.0	5.0
273.0	3.0
274.0	6.0
275.0	1.0
276.0	1.0
277.0	2.0
278.0	1.0
279.0	3.0
280.0	1.0
281.0	3.0
282.0	5.0
283.0	2.0
284.0	3.0
285.0	6.0
286.0	1.0
287.0	1.0
288.0	5.0
289.0	2.0
290.0	1.0
291.0	3.0
292.0	4.0
293.0	3.0
294.0	1.0
295.0	1.0
296.0	3.0
297.0	0.0
298.0	2.0
299.0	0.0
300.0	1.0
301.0	1.0
302.0	2.0
303.0	1.0
304.0	2.0
305.0	0.0
306.0	3.0
307.0	1.0
308.0	2.0
309.0	0.0
310.0	1.0
311.0	4.0
312.0	2.0
313.0	0.0
314.0	1.0
315.0	0.0
316.0	1.0
317.0	0.0
318.0	3.0
319.0	1.0
320.0	3.0
321.0	0.0
322.0	0.0
323.0	2.0
324.0	0.0
325.0	0.0
326.0	0.0
327.0	1.0
